"Date","Price","Open","High","Low","Vol.","Change %"
"29-06-2016","105.00","105.75","105.75","104.40","7.66M","0.62%"
"28-06-2016","104.35","101.35","105.15","100.70","15.01M","3.99%"
"27-06-2016","100.35","100.70","101.10","99.70","5.40M","0.80%"
"24-06-2016","99.55","99.40","100.00","96.55","6.30M","-2.02%"
"23-06-2016","101.60","102.00","102.30","101.30","3.79M","0.10%"
"22-06-2016","101.50","101.95","102.80","101.15","4.02M","-0.68%"
"21-06-2016","102.20","103.00","103.45","102.00","3.35M","-0.78%"
"20-06-2016","103.00","100.50","103.55","100.25","7.22M","1.78%"
"17-06-2016","101.20","100.65","101.60","99.85","4.97M","1.20%"
"16-06-2016","100.00","100.60","101.10","99.50","5.24M","-0.50%"
"15-06-2016","100.50","100.10","102.15","100.10","6.56M","0.75%"
"14-06-2016","99.75","99.50","100.70","98.55","8.52M","-0.10%"
"13-06-2016","99.85","102.25","102.90","99.45","10.96M","-3.53%"
"10-06-2016","103.50","104.30","105.35","103.15","5.49M","-1.33%"
"09-06-2016","104.90","105.40","105.60","104.15","5.04M","-0.19%"
"08-06-2016","105.10","106.50","106.85","104.65","7.60M","-0.24%"
"07-06-2016","105.35","106.50","106.90","104.80","8.31M","-0.61%"
"06-06-2016","106.00","105.90","106.50","104.00","12.67M","0.52%"
"03-06-2016","105.45","113.30","114.30","104.20","209.41M","-11.05%"
"02-06-2016","118.55","115.50","121.80","115.50","7.53M","0.68%"
"01-06-2016","117.75","115.75","118.25","114.45","4.21M","2.44%"
"31-05-2016","114.95","114.45","116.20","111.70","12.82M","1.32%"
"30-05-2016","113.45","112.80","117.35","112.00","4.89M","0.40%"
"27-05-2016","113.00","113.90","115.40","112.00","4.33M","-0.70%"
"26-05-2016","113.80","110.00","114.80","110.00","7.68M","3.88%"
"25-05-2016","109.55","105.30","110.60","105.30","5.38M","2.00%"
"24-05-2016","107.40","110.00","110.90","105.35","6.32M","-2.54%"
"23-05-2016","110.20","109.75","111.00","108.65","3.79M","0.96%"
"20-05-2016","109.15","108.00","111.40","107.45","4.36M","1.49%"
"19-05-2016","107.55","110.60","110.95","106.75","3.26M","-2.67%"
"18-05-2016","110.50","110.50","111.25","109.35","2.84M","-0.63%"
"17-05-2016","111.20","112.80","114.65","110.75","4.27M","-0.80%"
"16-05-2016","112.10","113.85","114.05","110.50","2.74M","-1.28%"
"13-05-2016","113.55","112.45","114.40","111.95","4.81M","1.43%"
"12-05-2016","111.95","111.80","113.25","111.20","2.99M","1.04%"
"11-05-2016","110.80","112.30","117.45","109.80","11.96M","-1.73%"
"10-05-2016","112.75","114.10","114.50","112.25","3.25M","-0.62%"
"09-05-2016","113.45","114.50","115.45","112.50","3.56M","-0.66%"
"06-05-2016","114.20","113.00","114.80","112.05","4.16M","0.62%"
"05-05-2016","113.50","120.80","120.95","111.60","6.20M","-5.30%"
"04-05-2016","119.85","118.55","121.05","117.35","2.42M","-0.04%"
"03-05-2016","119.90","118.00","121.25","117.00","3.61M","1.87%"
"02-05-2016","117.70","118.00","119.70","116.10","3.49M","-0.72%"
"29-04-2016","118.55","122.50","124.80","115.30","14.29M","-6.28%"
"28-04-2016","126.50","125.05","128.35","125.05","8.62M","1.20%"
"27-04-2016","125.00","123.50","127.60","123.05","5.65M","1.01%"
"26-04-2016","123.75","118.10","124.40","118.10","6.11M","4.74%"
"25-04-2016","118.15","117.45","119.15","117.00","2.91M","0.42%"
"22-04-2016","117.65","115.10","118.50","115.00","2.57M","0.56%"
"21-04-2016","117.00","116.75","118.65","115.70","3.54M","0.09%"
"20-04-2016","116.90","121.00","121.45","116.60","5.38M","-3.15%"
"18-04-2016","120.70","115.20","122.00","115.20","7.58M","5.28%"
"13-04-2016","114.65","114.90","116.70","113.60","6.91M","1.42%"
"12-04-2016","113.05","116.00","116.80","112.30","4.36M","-1.87%"
"11-04-2016","115.20","109.60","115.50","108.75","4.96M","5.64%"
"08-04-2016","109.05","109.40","110.00","107.25","1.78M","-0.27%"
"07-04-2016","109.35","111.80","111.80","108.85","1.66M","-1.58%"
"06-04-2016","111.10","109.40","113.50","109.35","3.29M","1.55%"
"05-04-2016","109.40","113.50","113.50","108.75","4.51M","-3.57%"
"04-04-2016","113.45","107.30","114.30","107.30","7.19M","5.93%"
"01-04-2016","107.10","110.50","110.80","106.40","4.31M","-2.81%"
"31-03-2016","110.20","108.50","115.10","107.75","10.30M","0.92%"
"30-03-2016","109.20","108.65","110.45","106.75","4.38M","1.72%"
"29-03-2016","107.35","105.60","108.40","105.40","3.83M","1.90%"
"28-03-2016","105.35","105.50","106.35","103.50","5.28M","0.38%"
"23-03-2016","104.95","102.50","106.50","102.00","9.14M","2.84%"
"22-03-2016","102.05","102.50","102.95","101.50","5.04M","0.00%"
"21-03-2016","102.05","102.20","103.00","101.55","4.14M","0.00%"
"18-03-2016","102.05","102.40","103.50","101.20","6.46M","1.54%"
"17-03-2016","100.50","99.25","101.50","98.75","8.95M","2.13%"
"16-03-2016","98.40","99.25","99.55","98.05","3.70M","-0.71%"
"15-03-2016","99.10","101.20","101.50","98.80","4.38M","-2.17%"
"14-03-2016","101.30","103.00","103.45","101.10","3.13M","-0.88%"
"11-03-2016","102.20","103.60","105.95","101.30","3.56M","-2.34%"
"10-03-2016","104.65","107.00","107.05","104.00","3.58M","-1.37%"
"09-03-2016","106.10","105.90","107.25","103.60","1.91M","0.19%"
"08-03-2016","105.90","106.00","107.10","104.65","8.38M","0.24%"
"04-03-2016","105.65","108.50","109.35","104.50","3.91M","-2.49%"
"03-03-2016","108.35","107.00","109.70","106.25","2.90M","1.50%"
"02-03-2016","106.75","105.70","108.50","105.40","2.92M","1.23%"
"01-03-2016","105.45","104.00","106.00","103.15","3.56M","1.10%"
"29-02-2016","104.30","105.00","106.25","102.80","4.25M","-1.28%"
"26-02-2016","105.65","106.25","106.45","103.35","2.03M","-0.56%"
"25-02-2016","106.25","105.10","107.55","103.65","6.94M","1.48%"
