"Date","Price","Open","High","Low","Vol.","Change %"
"29-06-2017","50.95","50.71","51.61","50.31","32.67M","1.03%"
"28-06-2017","50.43","49.38","50.92","48.74","13.37M","2.90%"
"27-06-2017","49.01","48.02","49.23","47.93","8.85M","2.25%"
"23-06-2017","47.93","48.59","48.74","47.53","6.99M","-1.11%"
"22-06-2017","48.47","48.89","49.29","48.11","8.61M","-0.62%"
"21-06-2017","48.77","49.17","50.22","48.50","11.58M","-1.71%"
"20-06-2017","49.62","47.26","49.77","47.26","18.79M","3.14%"
"19-06-2017","48.11","47.53","49.23","46.81","17.99M","2.45%"
"16-06-2017","46.96","46.45","48.05","45.96","30.16M","1.56%"
"15-06-2017","46.24","46.69","46.96","46.09","8.80M","-0.64%"
"14-06-2017","46.54","47.78","47.87","46.09","18.16M","-2.60%"
"13-06-2017","47.78","47.72","48.05","47.44","8.68M","0.06%"
"12-06-2017","47.75","47.60","48.17","47.23","7.27M","0.13%"
"09-06-2017","47.69","47.72","47.99","47.29","5.98M","-0.63%"
"08-06-2017","47.99","47.72","48.62","47.32","11.03M","0.69%"
"07-06-2017","47.66","48.38","48.71","47.32","9.87M","-1.49%"
"06-06-2017","48.38","49.35","49.50","48.08","7.06M","-1.97%"
"05-06-2017","49.35","48.32","49.59","48.26","12.21M","2.20%"
"02-06-2017","48.29","48.32","48.92","48.08","11.67M","0.56%"
"01-06-2017","48.02","47.87","48.77","47.56","8.74M","-0.62%"
"31-05-2017","48.32","48.02","48.62","47.41","27.70M","1.38%"
"30-05-2017","47.66","48.11","48.68","47.11","18.69M","-0.44%"
"29-05-2017","47.87","48.92","49.11","46.96","9.25M","-0.62%"
"26-05-2017","48.17","47.78","48.95","47.78","10.16M","0.82%"
"25-05-2017","47.78","47.17","48.50","45.78","25.49M","0.38%"
"24-05-2017","47.60","51.22","51.25","46.36","22.29M","-6.79%"
"23-05-2017","51.07","53.00","53.24","50.52","11.39M","-3.64%"
"22-05-2017","53.00","53.15","53.48","52.61","8.33M","-0.17%"
"19-05-2017","53.09","53.15","53.76","52.55","10.98M","0.97%"
"18-05-2017","52.58","52.06","53.12","51.82","14.22M","-0.17%"
"17-05-2017","52.67","53.09","53.09","52.06","19.16M","-0.68%"
"16-05-2017","53.03","52.25","53.15","51.37","24.39M","2.04%"
"15-05-2017","51.97","55.57","56.38","51.07","68.67M","-6.83%"
"12-05-2017","55.78","54.90","56.17","54.54","25.98M","1.71%"
"11-05-2017","54.84","55.57","55.75","53.00","29.19M","0.11%"
"10-05-2017","54.78","51.97","55.81","51.76","41.04M","4.24%"
"09-05-2017","52.55","52.94","53.60","51.70","14.22M","-0.68%"
"08-05-2017","52.91","48.62","55.21","48.62","31.01M","6.82%"
"05-05-2017","49.53","49.92","49.98","49.04","11.52M","-1.61%"
"04-05-2017","50.34","50.74","51.04","49.50","7.33M","-0.55%"
"03-05-2017","50.62","51.55","51.58","50.31","9.09M","-1.06%"
"02-05-2017","51.16","51.94","52.06","51.04","7.83M","-1.44%"
"28-04-2017","51.91","51.70","52.06","51.34","11.40M","0.93%"
"27-04-2017","51.43","51.88","52.34","51.22","16.71M","-0.64%"
"26-04-2017","51.76","52.09","52.09","51.49","10.52M","0.52%"
"25-04-2017","51.49","51.64","52.22","51.19","21.61M","0.29%"
"24-04-2017","51.34","52.06","52.06","51.04","6.67M","-0.35%"
"21-04-2017","51.52","51.58","52.06","51.28","9.47M","0.76%"
"20-04-2017","51.13","51.94","52.49","50.92","9.39M","-1.79%"
"19-04-2017","52.06","52.46","52.55","51.67","8.41M","0.00%"
"18-04-2017","52.06","52.03","53.27","51.88","19.00M","0.17%"
"17-04-2017","51.97","52.37","52.37","51.40","12.00M","-0.12%"
"13-04-2017","52.03","52.55","52.94","51.85","8.58M","-0.65%"
"12-04-2017","52.37","53.42","53.51","52.19","11.50M","-2.24%"
"11-04-2017","53.57","53.15","53.88","53.00","11.77M","0.79%"
"10-04-2017","53.15","53.24","53.39","52.58","17.09M","0.45%"
"07-04-2017","52.91","52.85","54.06","52.64","47.04M","1.15%"
"06-04-2017","52.31","53.15","53.76","52.09","19.93M","-1.30%"
"05-04-2017","53.00","51.40","53.33","51.34","31.80M","3.11%"
"03-04-2017","51.40","51.76","52.00","51.04","26.15M","-0.87%"
"31-03-2017","51.85","52.55","52.58","51.52","45.85M","-1.39%"
"30-03-2017","52.58","53.70","53.97","52.22","73.27M","-2.09%"
"29-03-2017","53.70","53.82","54.18","53.36","42.25M","0.47%"
"28-03-2017","53.45","53.03","54.36","52.94","29.76M","1.02%"
"27-03-2017","52.91","54.60","54.90","52.37","38.35M","-3.62%"
"24-03-2017","54.90","55.69","55.93","54.60","46.92M","-0.78%"
"23-03-2017","55.33","55.81","55.93","55.02","49.85M","0.33%"
"22-03-2017","55.15","54.69","56.62","54.06","90.63M","-1.76%"
"21-03-2017","56.14","59.19","59.22","54.42","146.69M","-4.86%"
"20-03-2017","59.01","66.38","74.59","55.78","332.50M","-9.62%"
"17-03-2017","65.29","68.86","68.86","64.63","47.69M","-4.29%"
"16-03-2017","68.22","68.46","69.58","67.23","60.91M","-0.13%"
"15-03-2017","68.31","62.33","70.34","62.27","104.30M","9.75%"
"14-03-2017","62.24","65.20","65.20","61.43","38.08M","-1.16%"
"10-03-2017","62.97","62.82","64.57","62.51","23.08M","0.29%"
"09-03-2017","62.79","64.14","64.14","62.21","19.64M","-2.10%"
"08-03-2017","64.14","65.44","65.81","63.60","19.91M","-2.21%"
"07-03-2017","65.59","66.44","66.83","65.14","17.55M","-1.06%"
"06-03-2017","66.29","66.95","67.56","64.96","22.48M","-0.72%"
"03-03-2017","66.77","66.44","68.13","66.02","21.87M","0.86%"
"02-03-2017","66.20","68.52","69.01","65.32","34.61M","-41.55%"
"01-03-2017","113.25","115.00","115.90","112.00","16.71M","-2.24%"
"28-02-2017","115.85","110.30","117.15","109.10","54.89M","1.13%"
"27-02-2017","114.55","118.50","119.00","113.05","20.15M","-4.22%"
"23-02-2017","119.60","115.10","122.40","115.10","91.52M","6.22%"
"22-02-2017","112.60","108.00","114.35","107.15","24.63M","3.92%"
"21-02-2017","108.35","109.00","110.10","106.60","20.25M","-0.09%"
"20-02-2017","108.45","111.30","111.75","107.45","23.23M","2.41%"
"17-02-2017","105.90","105.35","108.00","101.65","27.50M","-1.81%"
"16-02-2017","107.85","107.25","109.30","106.15","7.40M","0.51%"
"15-02-2017","107.30","109.50","109.75","106.65","9.78M","-2.37%"
"14-02-2017","109.90","107.30","112.20","105.80","20.06M","2.47%"
"13-02-2017","107.25","105.00","109.00","104.30","19.17M","-2.90%"
"10-02-2017","110.45","111.65","111.80","109.70","11.51M","-0.14%"
"09-02-2017","110.60","110.50","111.00","108.70","13.64M","0.96%"
"08-02-2017","109.55","107.50","111.00","107.10","30.16M","2.05%"
"07-02-2017","107.35","109.00","109.40","106.70","16.40M","-0.97%"
"06-02-2017","108.40","111.00","111.30","106.55","27.30M","-0.96%"
"03-02-2017","109.45","111.50","113.95","108.90","26.50M","-0.32%"
"02-02-2017","109.80","106.95","114.80","105.10","63.49M","2.23%"
"01-02-2017","107.40","110.30","112.00","104.15","66.75M","-2.45%"
"31-01-2017","110.10","101.20","119.00","97.80","283.05M","12.69%"
"30-01-2017","97.70","79.80","100.80","79.50","154.86M","25.26%"
"27-01-2017","78.00","76.00","78.25","75.65","7.97M","2.43%"
"25-01-2017","76.15","75.45","76.90","73.75","24.90M","0.33%"
"24-01-2017","75.90","73.50","76.25","73.40","16.98M","3.48%"
"23-01-2017","73.35","71.40","73.65","70.40","16.18M","2.59%"
"20-01-2017","71.50","69.50","72.60","69.50","27.43M","3.10%"
"19-01-2017","69.35","67.30","69.85","66.85","21.45M","2.82%"
"18-01-2017","67.45","69.35","69.60","66.85","9.67M","-2.60%"
"17-01-2017","69.25","69.95","70.25","68.90","5.40M","-0.93%"
"16-01-2017","69.90","69.50","70.35","68.90","5.49M","1.60%"
"13-01-2017","68.80","72.00","72.00","66.30","26.95M","-4.64%"
"12-01-2017","72.15","74.45","74.50","71.35","15.14M","-3.28%"
"11-01-2017","74.60","74.70","75.45","74.25","2.83M","0.13%"
"10-01-2017","74.50","75.00","75.00","73.70","2.25M","0.54%"
"09-01-2017","74.10","73.45","74.50","73.00","2.81M","1.65%"
"06-01-2017","72.90","73.80","74.90","72.70","5.19M","-2.54%"
"05-01-2017","74.80","74.00","75.20","73.40","5.25M","0.88%"
"04-01-2017","74.15","72.85","74.80","72.20","4.84M","1.02%"
"03-01-2017","73.40","74.90","75.45","72.85","4.05M","-2.07%"
"02-01-2017","74.95","74.50","75.65","73.40","3.31M","1.08%"
"30-12-2016","74.15","73.10","74.55","72.15","6.15M","1.92%"
"29-12-2016","72.75","71.40","73.10","70.80","11.12M","1.89%"
"28-12-2016","71.40","70.05","72.00","70.05","7.18M","2.00%"
"27-12-2016","70.00","69.45","70.35","68.15","4.91M","0.86%"
"26-12-2016","69.40","71.45","71.45","69.10","3.55M","-1.98%"
"23-12-2016","70.80","72.00","72.00","70.50","3.83M","-0.98%"
"22-12-2016","71.50","72.30","72.65","71.10","4.52M","-1.72%"
"21-12-2016","72.75","73.80","74.65","72.00","5.32M","-0.68%"
"20-12-2016","73.25","76.65","76.65","73.00","8.45M","-4.12%"
"19-12-2016","76.40","76.00","77.15","75.80","4.97M","0.26%"
"16-12-2016","76.20","77.00","77.20","75.25","5.18M","-0.97%"
"15-12-2016","76.95","75.60","77.50","75.60","4.59M","-0.26%"
"14-12-2016","77.15","76.95","77.85","75.95","6.91M","0.13%"
"13-12-2016","77.05","75.60","77.35","75.50","5.59M","1.92%"
"12-12-2016","75.60","76.00","76.55","74.50","6.32M","-1.56%"
"09-12-2016","76.80","76.55","77.40","75.80","4.40M","0.20%"
"08-12-2016","76.65","76.05","77.05","75.80","4.71M","1.59%"
"07-12-2016","75.45","74.70","76.60","73.95","11.42M","1.41%"
"06-12-2016","74.40","72.65","74.65","72.65","5.46M","2.41%"
"05-12-2016","72.65","72.65","74.25","71.70","7.54M","-1.09%"
"02-12-2016","73.45","71.05","74.00","71.05","12.50M","0.89%"
"01-12-2016","72.80","77.10","77.25","72.00","15.68M","-6.00%"
"30-11-2016","77.45","79.60","79.90","76.60","11.08M","-2.27%"
"29-11-2016","79.25","78.30","79.70","77.50","18.33M","4.55%"
"28-11-2016","75.80","73.50","76.40","73.35","7.10M","2.92%"
"25-11-2016","73.65","72.00","74.00","71.75","3.68M","3.08%"
"24-11-2016","71.45","71.90","72.95","71.10","8.44M","-1.99%"
"23-11-2016","72.90","71.50","73.40","71.00","4.52M","2.75%"
"22-11-2016","70.95","71.40","71.95","70.45","9.32M","-0.21%"
"21-11-2016","71.10","71.10","72.40","70.75","9.38M","0.00%"
"18-11-2016","71.10","70.60","71.80","69.30","4.39M","1.64%"
"17-11-2016","69.95","70.00","71.45","69.50","4.35M","-0.85%"
"16-11-2016","70.55","72.80","72.80","69.60","6.47M","-1.12%"
"15-11-2016","71.35","70.90","72.20","69.10","6.97M","2.00%"
"11-11-2016","69.95","72.70","72.80","69.80","6.12M","-4.24%"
"10-11-2016","73.05","72.90","74.45","72.60","4.78M","1.04%"
"09-11-2016","72.30","69.00","72.70","65.80","10.84M","-0.96%"
"08-11-2016","73.00","72.95","73.70","71.75","5.12M","-0.27%"
"07-11-2016","73.20","73.90","74.10","72.50","4.51M","1.46%"
"04-11-2016","72.15","73.80","74.45","71.60","6.36M","-1.90%"
"03-11-2016","73.55","74.00","75.95","73.20","7.41M","-1.01%"
"02-11-2016","74.30","76.00","76.20","74.05","5.95M","-3.00%"
"01-11-2016","76.60","76.80","77.85","76.35","4.49M","-0.20%"
"30-10-2016","76.75","76.75","77.10","76.60","1.14M","0.72%"
"28-10-2016","76.20","78.00","78.60","76.00","6.67M","-1.68%"
"27-10-2016","77.50","78.00","79.00","76.20","19.10M","-1.52%"
"26-10-2016","78.70","75.95","79.70","75.15","18.48M","4.52%"
"25-10-2016","75.30","74.05","76.95","74.05","20.41M","-1.95%"
"24-10-2016","76.80","78.10","79.40","76.20","15.83M","-4.00%"
"21-10-2016","80.00","78.30","80.60","77.40","9.53M","2.17%"
"20-10-2016","78.30","78.05","79.95","77.55","11.70M","2.62%"
"19-10-2016","76.30","72.65","78.20","72.55","9.69M","4.81%"
"18-10-2016","72.80","72.75","73.80","71.10","12.08M","0.76%"
"17-10-2016","72.25","75.00","75.35","72.05","7.46M","-3.28%"
"14-10-2016","74.70","76.40","76.80","74.45","7.39M","-1.78%"
"13-10-2016","76.05","79.75","80.05","75.70","11.48M","-4.76%"
"10-10-2016","79.85","80.50","80.75","79.70","2.04M","-0.19%"
"07-10-2016","80.00","80.55","80.55","79.55","4.36M","0.06%"
"06-10-2016","79.95","80.05","80.80","79.55","4.70M","0.00%"
"05-10-2016","79.95","82.30","82.60","79.50","10.69M","-1.54%"
"04-10-2016","81.20","80.50","81.90","80.10","5.32M","0.12%"
"03-10-2016","81.10","80.10","81.40","79.00","6.32M","2.53%"
"30-09-2016","79.10","78.00","81.20","78.00","9.84M","-0.88%"
"29-09-2016","79.80","82.95","83.10","78.50","13.39M","-3.27%"
"28-09-2016","82.50","79.50","83.20","79.50","10.04M","3.71%"
"27-09-2016","79.55","79.90","80.50","79.15","9.75M","-0.93%"
"26-09-2016","80.30","82.30","82.50","80.00","7.83M","-2.67%"
"23-09-2016","82.50","83.40","83.50","82.10","5.77M","-1.02%"
"22-09-2016","83.35","84.90","84.90","83.00","6.19M","-1.30%"
"21-09-2016","84.45","84.30","84.70","83.80","5.71M","0.66%"
"20-09-2016","83.90","85.20","85.20","83.65","3.77M","-1.12%"
"19-09-2016","84.85","84.30","85.70","84.30","3.34M","-0.35%"
"16-09-2016","85.15","84.65","86.05","83.50","9.39M","0.77%"
"15-09-2016","84.50","83.60","85.10","83.05","6.27M","0.90%"
"14-09-2016","83.75","82.85","84.15","82.80","5.34M","1.15%"
"12-09-2016","82.80","82.50","83.80","82.05","8.54M","-0.96%"
"09-09-2016","83.60","84.50","85.15","83.45","6.33M","-1.07%"
"08-09-2016","84.50","83.70","85.35","83.60","12.38M","0.96%"
"07-09-2016","83.70","83.65","84.85","83.25","13.85M","-1.36%"
"06-09-2016","84.85","83.75","85.30","82.25","24.03M","0.47%"
"02-09-2016","84.45","82.10","85.15","80.60","50.45M","0.96%"
"01-09-2016","83.65","93.10","93.70","83.10","62.24M","-10.49%"
"31-08-2016","93.45","93.70","94.45","93.20","7.05M","-0.37%"
"30-08-2016","93.80","94.95","95.20","93.30","5.07M","-0.69%"
"29-08-2016","94.45","93.50","95.25","93.10","4.41M","0.53%"
"26-08-2016","93.95","95.15","95.70","93.20","6.07M","-1.78%"
"25-08-2016","95.65","98.05","98.55","95.20","9.49M","-2.75%"
"24-08-2016","98.35","98.60","98.90","97.00","14.39M","-2.62%"
"23-08-2016","101.00","95.00","102.00","94.55","26.22M","6.88%"
"22-08-2016","94.50","95.00","95.00","93.50","5.09M","0.96%"
"19-08-2016","93.60","93.90","94.20","93.10","4.60M","-0.05%"
"18-08-2016","93.65","94.05","94.55","93.45","4.51M","0.43%"
"17-08-2016","93.25","95.00","95.30","92.90","9.32M","-1.58%"
"16-08-2016","94.75","94.80","95.00","92.95","7.63M","0.85%"
"12-08-2016","93.95","96.00","96.00","93.15","10.14M","-1.57%"
"11-08-2016","95.45","93.50","96.20","93.20","15.06M","2.69%"
"10-08-2016","92.95","96.95","98.00","92.50","14.65M","-4.32%"
"09-08-2016","97.15","98.00","99.50","96.75","28.02M","-5.77%"
"08-08-2016","103.10","106.20","106.25","102.50","10.39M","-2.92%"
"05-08-2016","106.20","105.50","107.00","105.00","2.74M","0.66%"
"04-08-2016","105.50","105.25","105.80","103.45","3.44M","0.86%"
"03-08-2016","104.60","105.00","105.90","103.55","3.48M","0.63%"
"02-08-2016","103.95","104.10","105.35","102.30","6.97M","0.05%"
"01-08-2016","103.90","105.05","105.70","103.20","2.68M","-0.76%"
"29-07-2016","104.70","104.80","105.90","104.00","3.87M","-0.33%"
"28-07-2016","105.05","107.65","108.20","104.50","5.86M","-1.18%"
"27-07-2016","106.30","108.00","109.00","105.20","4.55M","-1.53%"
"26-07-2016","107.95","107.25","109.20","106.85","4.19M","0.51%"
"25-07-2016","107.40","106.90","107.75","106.05","3.76M","0.66%"
"22-07-2016","106.70","105.30","107.50","105.20","2.87M","1.19%"
"21-07-2016","105.45","105.60","106.45","105.00","3.44M","0.09%"
"20-07-2016","105.35","106.40","107.35","105.00","4.01M","-0.89%"
"19-07-2016","106.30","104.70","106.75","102.80","7.65M","2.36%"
"18-07-2016","103.85","112.25","112.65","102.60","14.28M","-6.53%"
"15-07-2016","111.10","108.00","111.65","107.95","10.28M","3.25%"
"14-07-2016","107.60","106.75","108.25","106.00","4.89M","0.94%"
"13-07-2016","106.60","104.50","107.20","104.05","6.39M","2.21%"
"12-07-2016","104.30","103.55","104.50","102.60","3.42M","0.97%"
"11-07-2016","103.30","103.90","103.90","102.80","2.18M","1.27%"
"08-07-2016","102.00","104.00","104.20","100.50","5.97M","-2.63%"
"07-07-2016","104.75","105.50","106.45","104.40","3.37M","-0.52%"
"05-07-2016","105.30","106.50","106.50","104.80","4.21M","-0.94%"
"04-07-2016","106.30","105.50","107.80","105.50","7.46M","0.24%"
