"Date","Price","Open","High","Low","Vol.","Change %"
"28-06-2023","7.45","7.55","7.70","7.40","162.93M","-0.67%"
"27-06-2023","7.50","7.60","7.80","7.40","146.10M","-1.96%"
"26-06-2023","7.65","7.50","7.75","7.30","121.10M","2.68%"
"23-06-2023","7.45","7.50","7.60","7.30","121.88M","0.00%"
"22-06-2023","7.45","7.70","7.85","7.40","178.62M","-3.87%"
"21-06-2023","7.75","7.40","7.90","7.30","204.46M","4.73%"
"20-06-2023","7.40","7.60","7.65","7.35","76.40M","-2.63%"
"19-06-2023","7.60","7.80","7.85","7.60","60.95M","-2.56%"
"16-06-2023","7.80","7.85","8.00","7.75","70.61M","0.00%"
"15-06-2023","7.80","7.90","8.05","7.75","110.86M","-1.27%"
"14-06-2023","7.90","8.15","8.25","7.85","344.31M","2.60%"
"13-06-2023","7.70","7.55","7.90","7.50","168.44M","2.67%"
"12-06-2023","7.50","7.35","7.60","7.25","94.73M","2.74%"
"09-06-2023","7.30","7.40","7.50","7.20","99.98M","-0.68%"
"08-06-2023","7.35","7.80","7.80","7.35","135.74M","-3.92%"
"07-06-2023","7.65","7.05","7.75","7.05","218.12M","8.51%"
"06-06-2023","7.05","7.15","7.15","7.00","35.55M","-1.40%"
"05-06-2023","7.15","7.20","7.25","7.05","34.81M","0.00%"
"02-06-2023","7.15","7.20","7.25","7.10","30.96M","0.00%"
"01-06-2023","7.15","7.20","7.25","7.15","39.54M","-0.69%"
"31-05-2023","7.20","7.15","7.25","6.95","101.09M","1.41%"
"30-05-2023","7.10","7.15","7.20","7.05","45.60M","0.00%"
"29-05-2023","7.10","7.10","7.30","7.05","86.66M","0.71%"
"26-05-2023","7.05","7.15","7.20","7.00","78.26M","0.71%"
"25-05-2023","7.00","6.95","7.25","6.85","149.53M","0.72%"
"24-05-2023","6.95","6.95","7.05","6.90","77.54M","0.00%"
"23-05-2023","6.95","7.05","7.05","6.95","33.84M","-0.71%"
"22-05-2023","7.00","7.05","7.05","6.95","35.84M","-0.71%"
"19-05-2023","7.05","7.10","7.10","6.90","49.91M","0.71%"
"18-05-2023","7.00","7.05","7.10","6.95","47.70M","-0.71%"
"17-05-2023","7.05","7.25","7.25","7.00","112.36M","-4.08%"
"16-05-2023","7.35","7.10","7.45","7.00","182.47M","4.26%"
"15-05-2023","7.05","7.00","7.30","7.00","69.51M","0.71%"
"12-05-2023","7.00","7.10","7.10","6.95","74.27M","-2.10%"
"11-05-2023","7.15","6.80","7.30","6.75","202.58M","5.93%"
"10-05-2023","6.75","6.85","6.85","6.55","101.39M","-0.74%"
"09-05-2023","6.80","6.95","7.00","6.80","31.99M","-1.45%"
"08-05-2023","6.90","6.95","7.00","6.90","26.42M","0.00%"
"05-05-2023","6.90","6.95","7.10","6.85","59.31M","-1.43%"
"04-05-2023","7.00","6.95","7.15","6.85","96.88M","1.45%"
"03-05-2023","6.90","6.90","7.15","6.85","82.28M","0.00%"
"02-05-2023","6.90","7.00","7.00","6.75","78.65M","-0.72%"
"28-04-2023","6.95","6.95","7.10","6.90","95.35M","0.72%"
"27-04-2023","6.90","6.60","7.05","6.55","317.65M","5.34%"
"26-04-2023","6.55","6.35","6.70","6.30","169.16M","3.97%"
"25-04-2023","6.30","6.35","6.45","6.30","37.75M","-0.79%"
"24-04-2023","6.35","6.50","6.55","6.25","88.28M","-1.55%"
"21-04-2023","6.45","6.15","6.65","6.15","326.28M","6.61%"
"20-04-2023","6.05","6.05","6.10","6.00","20.16M","0.00%"
"19-04-2023","6.05","6.10","6.15","6.05","28.21M","0.00%"
"18-04-2023","6.05","6.10","6.10","6.00","27.94M","0.00%"
"17-04-2023","6.05","6.10","6.15","6.00","35.50M","0.00%"
"13-04-2023","6.05","6.20","6.25","6.05","38.88M","-2.42%"
"12-04-2023","6.20","6.15","6.25","6.10","39.17M","1.64%"
"11-04-2023","6.10","6.20","6.20","6.05","36.35M","-0.81%"
"10-04-2023","6.15","6.25","6.30","6.10","37.65M","-1.60%"
"06-04-2023","6.25","6.20","6.30","6.15","87.62M","0.00%"
"05-04-2023","6.25","6.15","6.35","6.05","109.36M","1.63%"
"03-04-2023","6.15","5.85","6.25","5.80","115.28M","6.03%"
"31-03-2023","5.80","5.90","5.95","5.70","114.44M","-1.69%"
"29-03-2023","5.90","5.90","6.05","5.80","95.16M","0.00%"
"28-03-2023","5.90","6.00","6.10","5.80","109.83M","-2.48%"
"27-03-2023","6.05","6.25","6.30","6.00","73.48M","-3.20%"
"24-03-2023","6.25","6.40","6.50","6.20","113.50M","-3.10%"
"23-03-2023","6.45","6.55","6.55","6.40","54.97M","-1.53%"
"22-03-2023","6.55","6.35","6.80","6.30","170.53M","3.97%"
"21-03-2023","6.30","6.35","6.40","6.30","50.37M","-0.79%"
"20-03-2023","6.35","6.45","6.45","6.25","66.23M","-0.78%"
"17-03-2023","6.40","6.45","6.50","6.35","79.55M","-0.78%"
"16-03-2023","6.45","6.45","6.55","6.25","70.63M","0.78%"
