"Date","Price","Open","High","Low","Vol.","Change %"
"30-06-2025","7.43","7.40","7.51","7.32","554.26M","0.68%"
"27-06-2025","7.38","7.25","7.55","7.25","805.57M","1.93%"
"26-06-2025","7.24","7.18","7.35","7.09","904.46M","1.54%"
"25-06-2025","7.13","6.87","7.27","6.80","1.07B","3.94%"
"24-06-2025","6.86","6.71","7.03","6.64","1.04B","4.73%"
"23-06-2025","6.55","6.50","6.62","6.43","322.97M","-0.15%"
"20-06-2025","6.56","6.35","6.60","6.32","522.95M","3.63%"
"19-06-2025","6.33","6.72","6.72","6.29","641.05M","-3.51%"
"18-06-2025","6.56","6.60","6.70","6.52","300.89M","-0.61%"
"17-06-2025","6.60","6.67","6.74","6.58","264.15M","-1.35%"
"16-06-2025","6.69","6.67","6.77","6.47","525.51M","0.30%"
"13-06-2025","6.67","6.68","6.73","6.60","469.13M","-1.62%"
"12-06-2025","6.78","7.01","7.01","6.75","414.70M","-2.31%"
"11-06-2025","6.94","6.96","7.17","6.90","571.37M","-0.43%"
"10-06-2025","6.97","7.05","7.07","6.94","309.41M","-1.13%"
"09-06-2025","7.05","6.92","7.14","6.91","630.98M","1.88%"
"06-06-2025","6.92","6.82","6.95","6.78","398.85M","1.47%"
"05-06-2025","6.82","6.91","6.94","6.80","327.64M","-1.30%"
"04-06-2025","6.91","6.77","6.94","6.65","498.83M","2.07%"
"03-06-2025","6.77","6.89","7.12","6.72","679.08M","-3.70%"
"02-06-2025","7.03","6.93","7.10","6.90","500.34M","1.59%"
"30-05-2025","6.92","7.14","7.17","6.86","701.17M","-3.08%"
"29-05-2025","7.14","7.12","7.20","7.10","343.19M","0.28%"
"28-05-2025","7.12","6.96","7.24","6.96","611.80M","2.30%"
"27-05-2025","6.96","6.86","7.05","6.85","427.26M","0.43%"
"26-05-2025","6.93","6.76","7.05","6.73","591.85M","2.51%"
"23-05-2025","6.76","6.73","6.80","6.69","253.86M","0.15%"
"22-05-2025","6.75","6.69","6.82","6.65","390.48M","-0.15%"
"21-05-2025","6.76","6.61","6.80","6.50","541.59M","3.21%"
"20-05-2025","6.55","6.75","6.78","6.46","865.18M","-2.53%"
"19-05-2025","6.72","7.19","7.21","6.48","1.71B","-8.82%"
