"Date","Price","Open","High","Low","Vol.","Change %"
"29-06-2015","170.15","171.00","171.70","168.15","3.21M","-1.25%"
"26-06-2015","172.30","172.20","174.50","171.05","2.73M","-0.69%"
"25-06-2015","173.50","173.95","175.90","172.30","5.11M","-0.52%"
"24-06-2015","174.40","175.00","177.90","173.15","2.54M","-0.29%"
"23-06-2015","174.90","175.20","175.75","172.55","2.71M","-0.17%"
"22-06-2015","175.20","176.35","176.70","173.10","2.14M","-0.17%"
"19-06-2015","175.50","175.00","177.00","172.75","3.80M","0.80%"
"18-06-2015","174.10","171.35","175.00","169.20","3.03M","2.14%"
"17-06-2015","170.45","169.90","171.65","167.00","4.72M","1.19%"
"16-06-2015","168.45","175.55","175.85","166.75","4.33M","-4.04%"
"15-06-2015","175.55","171.10","175.90","169.10","3.29M","2.99%"
"12-06-2015","170.45","166.00","172.05","165.00","4.51M","1.76%"
"11-06-2015","167.50","177.00","177.00","166.20","7.34M","-4.56%"
"10-06-2015","175.50","176.30","179.00","174.50","4.12M","-1.04%"
"09-06-2015","177.35","176.00","178.00","173.60","2.36M","0.25%"
"08-06-2015","176.90","179.00","180.40","174.70","3.39M","-1.06%"
"05-06-2015","178.80","174.90","179.50","174.00","6.26M","2.76%"
"04-06-2015","174.00","175.00","179.10","173.00","4.16M","-0.68%"
"03-06-2015","175.20","172.50","176.50","168.50","6.19M","1.59%"
"02-06-2015","172.45","173.40","174.30","170.10","3.22M","-0.06%"
"01-06-2015","172.55","173.60","175.00","171.25","2.36M","-0.38%"
"29-05-2015","173.20","170.30","175.50","168.00","7.82M","2.36%"
"28-05-2015","169.20","171.10","171.95","165.00","7.05M","-0.50%"
"27-05-2015","170.05","166.00","175.00","165.00","6.03M","2.35%"
"26-05-2015","166.15","167.20","168.80","165.20","4.74M","-0.78%"
"25-05-2015","167.45","167.95","170.50","165.50","4.58M","-0.03%"
"22-05-2015","167.50","173.40","173.65","165.80","5.82M","-2.56%"
"21-05-2015","171.90","175.30","177.25","170.80","6.09M","-2.27%"
"20-05-2015","175.90","179.50","180.00","174.75","4.12M","-1.73%"
"19-05-2015","179.00","177.40","179.75","175.05","3.87M","1.22%"
"18-05-2015","176.85","174.70","177.30","171.50","2.92M","1.81%"
"15-05-2015","173.70","173.25","175.80","171.35","2.81M","0.75%"
"14-05-2015","172.40","168.25","173.30","166.50","4.72M","2.47%"
"13-05-2015","168.25","170.00","170.05","165.00","4.69M","0.06%"
"12-05-2015","168.15","172.30","172.75","166.30","7.81M","-1.72%"
"11-05-2015","171.10","170.00","174.15","169.65","4.97M","0.65%"
"08-05-2015","170.00","174.40","177.40","168.00","7.50M","-1.68%"
"07-05-2015","172.90","171.00","173.75","170.10","5.46M","0.58%"
"06-05-2015","171.90","178.00","182.10","171.20","8.26M","-3.94%"
"05-05-2015","178.95","178.40","180.95","176.35","4.16M","0.39%"
"04-05-2015","178.25","177.90","179.15","175.30","5.80M","1.86%"
"30-04-2015","175.00","179.80","180.35","173.75","17.46M","-3.61%"
"29-04-2015","181.55","197.00","199.50","179.10","17.63M","-5.37%"
"28-04-2015","191.85","185.85","196.20","184.15","10.85M","3.28%"
"27-04-2015","185.75","182.70","189.25","182.70","6.86M","1.73%"
"24-04-2015","182.60","183.90","186.00","181.45","2.88M","-1.06%"
"23-04-2015","184.55","187.95","188.80","182.25","4.31M","-0.81%"
"22-04-2015","186.05","186.85","188.40","182.40","6.12M","0.27%"
"21-04-2015","185.55","190.00","194.15","184.60","8.19M","-3.16%"
"20-04-2015","191.60","197.25","197.25","190.65","5.95M","-2.72%"
"17-04-2015","196.95","203.00","204.00","195.75","5.06M","-2.86%"
"16-04-2015","202.75","199.00","203.90","198.30","9.14M","2.04%"
"15-04-2015","198.70","202.00","202.05","197.50","6.01M","-1.73%"
"13-04-2015","202.20","195.00","203.60","194.40","7.63M","3.14%"
"10-04-2015","196.05","187.00","196.95","186.80","6.95M","4.48%"
"09-04-2015","187.65","192.70","194.75","186.30","6.44M","-2.37%"
"08-04-2015","192.20","198.00","198.55","190.10","8.53M","-2.51%"
"07-04-2015","197.15","193.85","199.00","190.50","4.82M","1.86%"
"06-04-2015","193.55","189.65","194.25","188.80","8.06M","2.06%"
"01-04-2015","189.65","182.15","190.45","182.15","9.71M","3.07%"
"31-03-2015","184.00","183.90","187.50","181.80","12.79M","0.55%"
"30-03-2015","183.00","171.00","185.70","170.55","10.35M","6.21%"
"27-03-2015","172.30","185.10","187.00","166.05","14.61M","-4.57%"
"26-03-2015","180.55","172.60","184.40","172.00","21.81M","4.18%"
"25-03-2015","173.30","171.35","175.40","170.70","4.40M","2.00%"
"24-03-2015","169.90","171.45","174.25","169.00","4.92M","-0.88%"
"23-03-2015","171.40","175.05","178.30","170.50","3.23M","-1.95%"
"20-03-2015","174.80","176.00","178.95","173.70","8.89M","-0.23%"
"19-03-2015","175.20","176.70","179.20","173.60","4.97M","-0.03%"
"18-03-2015","175.25","176.00","181.15","174.30","6.01M","-0.74%"
"17-03-2015","176.55","174.50","179.00","172.75","6.57M","1.82%"
"16-03-2015","173.40","181.75","181.80","172.55","45.22M","-4.78%"
"13-03-2015","182.10","174.35","183.55","172.55","16.42M","4.06%"
"12-03-2015","175.00","163.50","175.95","162.40","18.88M","6.77%"
"11-03-2015","163.90","155.00","165.65","153.30","12.97M","6.53%"
"10-03-2015","153.85","149.00","162.60","145.35","11.30M","3.26%"
