"Date","Price","Open","High","Low","Vol.","Change %"
"29-06-2018","35.85","35.03","36.12","33.70","21.87M","4.67%"
"28-06-2018","34.25","33.64","34.67","33.10","29.28M","1.81%"
"27-06-2018","33.64","35.03","35.48","32.92","27.40M","-3.89%"
"26-06-2018","35.00","33.82","35.24","33.34","42.60M","3.49%"
"25-06-2018","33.82","36.27","36.36","33.58","46.78M","-7.52%"
"22-06-2018","36.57","36.84","36.90","36.33","9.19M","-0.41%"
"21-06-2018","36.72","37.39","37.39","36.42","10.17M","-1.16%"
"20-06-2018","37.15","37.99","38.02","36.99","14.71M","-0.32%"
"19-06-2018","37.27","37.57","37.75","36.90","13.36M","-0.88%"
"18-06-2018","37.60","37.87","38.17","37.27","28.23M","2.65%"
"15-06-2018","36.63","37.63","38.23","36.33","45.23M","-3.43%"
"14-06-2018","37.93","37.18","38.11","37.18","16.33M","2.10%"
"13-06-2018","37.15","38.87","38.96","36.81","36.92M","-5.73%"
"12-06-2018","39.41","38.47","39.77","38.08","20.88M","2.34%"
"11-06-2018","38.51","39.08","39.47","38.11","20.18M","-0.62%"
"08-06-2018","38.75","37.27","39.14","36.72","34.87M","3.80%"
"07-06-2018","37.33","35.64","37.66","35.64","24.34M","4.83%"
"06-06-2018","35.61","33.82","35.91","33.43","35.77M","4.24%"
"05-06-2018","34.16","38.57","38.57","33.40","65.12M","-10.08%"
"04-06-2018","37.99","37.93","38.47","37.33","17.75M","1.77%"
"01-06-2018","37.33","38.05","38.05","36.81","21.25M","0.48%"
"31-05-2018","37.15","37.45","38.02","36.51","39.38M","-0.56%"
"30-05-2018","37.36","37.45","38.05","36.78","24.52M","-0.72%"
"29-05-2018","37.63","37.15","38.17","36.81","28.11M","1.54%"
"28-05-2018","37.06","36.75","37.42","36.12","17.70M","2.69%"
"25-05-2018","36.09","34.94","36.99","34.43","47.26M","5.00%"
"24-05-2018","34.37","33.19","34.94","33.07","26.37M","4.12%"
"23-05-2018","33.01","33.22","33.88","32.65","19.25M","-0.45%"
"22-05-2018","33.16","31.98","33.76","31.62","24.99M","3.88%"
"21-05-2018","31.92","31.59","32.22","31.38","12.60M","1.43%"
"18-05-2018","31.47","32.01","32.13","31.11","24.34M","-1.04%"
"17-05-2018","31.80","31.74","32.37","31.59","25.48M","-0.19%"
"16-05-2018","31.86","32.01","32.40","31.53","22.08M","-0.65%"
"15-05-2018","32.07","31.11","32.50","30.99","40.76M","2.59%"
"14-05-2018","31.26","30.99","32.16","30.26","61.62M","0.68%"
"11-05-2018","31.05","35.18","35.18","30.65","131.77M","-11.89%"
"10-05-2018","35.24","36.69","36.69","35.09","29.07M","-3.79%"
"09-05-2018","36.63","36.78","37.30","36.42","14.52M","-0.81%"
"08-05-2018","36.93","37.93","37.93","36.30","23.24M","-2.02%"
"07-05-2018","37.69","38.08","38.29","37.51","16.59M","-0.16%"
"04-05-2018","37.75","38.66","39.11","37.15","36.52M","-2.28%"
